1921307,TEKNIK TELEKOMUNIKASI,192
1921315,SAINS AKTUARIA,192
1921323,REKAYASA KEHUTANAN,192
1921331,TEKNIK BIOMEDIS,192
1921346,SAINS LINGKUNGAN KELAUTAN,192
1921354,SAINS DATA,192
3111014,TEKNIK MESIN,311
3111022,TEKNIK ELEKTRO,311
3111037,TEKNIK INDUSTRI,311
3111045,TEKNIK METALURGI,311
3111053,TEKNIK KIMIA,311
3111061,TEKNIK SIPIL,311
3111076,AGRIBISNIS,311
3111084,AGROEKOTEKNOLOGI,311
3111092,ILMU PERIKANAN,311
3111103,PENDIDIKAN BIOLOGI,311
3111111,PENDIDIKAN MATEMATIKA,311
3111126,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,311
3111134,PENDIDIKAN VOKASIONAL TEKNIK MESIN,311
3111142,PENDIDIKAN FISIKA,311
3111157,PENDIDIKAN KIMIA,311
3111165,PENDIDIKAN IPA,311
3111173,TEKNOLOGI PANGAN,311
3111181,ILMU KEOLAHRAGAAN,311
3111196,GIZI,311
3111207,KEDOKTERAN,311
3211015,PENDIDIKAN DOKTER,321
3211023,PENDIDIKAN DOKTER GIGI,321
3211031,MATEMATIKA,321
3211046,FISIKA,321
3211054,KIMIA,321
3211062,BIOLOGI,321
3211077,FARMASI,321
3211085,GEOGRAFI,321
3211093,TEKNIK SIPIL,321
3211104,TEKNIK MESIN,321
3211112,TEKNIK ELEKTRO,321
3211127,TEKNIK METALURGI & MATERIAL,321
3211135,ARSITEKTUR,321
3211143,TEKNIK KIMIA,321
3211151,ILMU KEPERAWATAN,321
3211166,ILMU KOMPUTER,321
3211174,ILMU KESEHATAN MASYARAKAT,321
3211182,TEKNIK INDUSTRI,321
3211197,TEKNIK PERKAPALAN,321
3211201,TEKNIK LINGKUNGAN,321
3211216,TEKNIK KOMPUTER,321
3211224,SISTEM INFORMASI,321
3211232,ARSITEKTUR INTERIOR,321
3211247,TEKNOLOGI BIOPROSES,321
3211255,GIZI,321
3211263,KESEHATAN LINGKUNGAN,321
3211271,KESELAMATAN DAN KESEHATAN KERJA,321
3211286,GEOFISIKA,321
3211294,GEOLOGI,321
3211305,STATISTIKA,321
3211313,AKTUARIA,321
3211321,TEKNIK BIOMEDIS,321
3221017,SOSIAL EKONOMI PERTANIAN / AGRIBISNIS,322
3221025,TEKNIK INFORMATIKA,322
3221033,SISTEM INFORMASI,322
3221041,MATEMATIKA,322
3221056,BIOLOGI,322
3221064,KIMIA,322
3221072,FISIKA,322
3221087,KESEHATAN MASYARAKAT,322
3221095,FARMASI,322
3221106,ILMU KEPERAWATAN,322
3221114,PENDIDIKAN DOKTER,322
3221122,PENDIDIKAN MATEMATIKA,322
3221145,PENDIDIKAN KIMIA,322
3221161,TEKNIK PERTAMBANGAN,322
3231012,PENDIDIKAN MATEMATIKA,323
3231027,PENDIDIKAN FISIKA,323
3231035,PENDIDIKAN KIMIA,323
3231043,PENDIDIKAN BIOLOGI,323
3231051,MATEMATIKA,323
3231066,FISIKA,323
3231074,KIMIA,323
3231082,BIOLOGI,323
3231097,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,323
3231101,PENDIDIKAN VOKASIONAL TEKNIK MESIN,323
3231116,PENDIDIKAN VOKASIONAL KONSTRUKSI  BANGUNAN,323
3231124,ILMU KEOLAHRAGAAN,323
3231132,PENDIDIKAN INFORMATIKA,323
3231147,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRONIKA,323
3231155,ILMU KOMPUTER,323
3231163,STATISTIKA,323
3231171,REKAYASA KESELAMATAN KEBAKARAN,323
3231186,TEKNIK MESIN,323
3231194,SISTEM DAN TEKNOLOGI INFORMASI,323
3241014,TEKNIK MESIN,324
3241022,TEKNIK PERKAPALAN,324
3241037,TEKNIK INDUSTRI,324
3241045,INFORMATIKA,324
3241053,SISTEM INFORMASI,324
3241061,KEDOKTERAN,324
3241076,KEPERAWATAN,324
3241084,KESEHATAN MASYARAKAT,324
3241092,GIZI,324
3241103,TEKNIK ELEKTRO,324
3241111,FARMASI,324
3311016,AGROTEKNOLOGI,331
3311024,TEKNIK INDUSTRI,331
3311032,TEKNIK MESIN,331
3311047,TEKNIK ELEKTRO,331
3311055,TEKNIK INFORMATIKA,331
3311063,PEND. MATEMATIKA,331
3311071,AGRIBISNIS,331
3311086,FARMASI,331
3311094,GIZI,331
3311105,TEKNIK KIMIA,331
3311113,ILMU KEOLAHRAGAAN,331
